,Bus_ID,period,state,mileage,decision
0,5297,1,1,6299.0,0
1,5297,2,2,10479.0,0
2,5297,3,3,15201.0,0
3,5297,4,4,20326.0,0
4,5297,5,4,24898.0,0
5,5297,6,5,29349.0,0
6,5297,7,6,33304.0,0
7,5297,8,7,37631.0,0
8,5297,9,8,42428.0,0
9,5297,10,9,47023.0,0
10,5297,11,10,52571.0,0
11,5297,12,11,58696.0,0
12,5297,13,12,62776.0,0
13,5297,14,13,66347.0,0
14,5297,15,13,69260.0,0
15,5297,16,14,72025.0,0
16,5297,17,14,74323.0,0
17,5297,18,15,76684.0,0
18,5297,19,15,79403.0,0
19,5297,20,16,82093.0,0
20,5297,21,16,84579.0,0
21,5297,22,17,88054.0,0
22,5297,23,18,90206.0,0
23,5297,24,18,92421.0,0
24,5297,25,19,95127.0,0
25,5297,26,19,98290.0,0
26,5297,27,20,100941.0,0
27,5297,28,20,104241.0,0
28,5297,29,21,107720.0,0
29,5297,30,22,110597.0,0
30,5297,31,22,113442.0,0
31,5297,32,23,116148.0,0
32,5297,33,23,118615.0,0
33,5297,34,24,121528.0,0
34,5297,35,24,123837.0,0
35,5297,36,25,126505.0,0
36,5297,37,25,129204.0,0
37,5297,38,26,132530.0,0
38,5297,39,27,135398.0,0
39,5297,40,27,137763.0,0
40,5297,41,28,143169.0,0
41,5297,42,29,148099.0,0
42,5297,43,30,152557.0,1
43,5297,44,0,1702.0,0
44,5297,45,0,4770.0,0
45,5297,46,1,7452.0,0
46,5297,47,2,10156.0,0
47,5297,48,2,11217.0,0
48,5297,49,2,14507.0,0
49,5297,50,3,18022.0,0
50,5297,51,4,20570.0,0
51,5297,52,4,23707.0,0
52,5297,53,5,27378.0,0
53,5297,54,6,30281.0,0
54,5297,55,6,34047.0,0
55,5297,56,7,35694.0,0
56,5297,57,7,36648.0,0
57,5297,58,7,39354.0,0
58,5297,59,8,41726.0,0
59,5297,60,8,44294.0,0
60,5297,61,9,46158.0,0
61,5297,62,9,48131.0,0
62,5297,63,10,51245.0,0
63,5297,64,10,53786.0,0
64,5297,65,11,55941.0,0
65,5297,66,11,58332.0,0
66,5297,67,12,61072.0,0
67,5297,68,12,63791.0,0
68,5297,69,13,65991.0,0
69,5297,70,13,68171.0,0
70,5297,71,14,70850.0,0
71,5297,72,14,73806.0,0
72,5297,73,15,76695.0,0
73,5297,74,15,79355.0,0
74,5297,75,16,81410.0,0
75,5297,76,16,83325.0,0
76,5297,77,17,85164.0,0
77,5297,78,17,86109.0,0
78,5297,79,17,87608.0,0
79,5297,80,17,89560.0,0
80,5297,81,18,90893.0,0
81,5297,82,18,93025.0,0
82,5297,83,19,95246.0,0
83,5297,84,19,97408.0,0
84,5297,85,19,99072.0,0
85,5297,86,20,101508.0,0
86,5297,87,20,102981.0,0
87,5297,88,20,104612.0,0
88,5297,89,21,106730.0,0
89,5297,90,21,108914.0,0
90,5297,91,22,111486.0,0
91,5297,92,22,113556.0,0
92,5297,93,23,115833.0,0
93,5297,94,23,117899.0,0
94,5297,95,23,119000.0,0
95,5297,96,23,119621.0,0
96,5297,97,24,121510.0,0
97,5297,98,24,123511.0,0
98,5297,99,25,125254.0,0
99,5297,100,25,127988.0,0
100,5297,101,26,130724.0,0
101,5297,102,26,132526.0,0
102,5297,103,26,134840.0,0
103,5297,104,27,136727.0,0
104,5297,105,27,138259.0,0
105,5297,106,27,139539.0,0
106,5297,107,28,141715.0,0
107,5297,108,28,143036.0,0
108,5297,109,28,144557.0,0
109,5297,110,29,146465.0,0
110,5297,111,29,148396.0,0
111,5297,112,29,149858.0,0
112,5297,113,30,152093.0,0
113,5297,114,30,154467.0,0
114,5297,115,31,156453.0,0
115,5297,116,31,158450.0,0
116,5298,1,0,4372.0,0
117,5298,2,1,9064.0,0
118,5298,3,2,13846.0,0
119,5298,4,3,18251.0,0
120,5298,5,4,22725.0,0
121,5298,6,5,27843.0,0
122,5298,7,6,32508.0,0
123,5298,8,7,37003.0,0
124,5298,9,8,41817.0,0
125,5298,10,9,47203.0,0
126,5298,11,10,52571.0,0
127,5298,12,11,57887.0,0
128,5298,13,12,62468.0,0
129,5298,14,13,66738.0,0
130,5298,15,14,71023.0,0
131,5298,16,15,75818.0,0
132,5298,17,15,79929.0,0
133,5298,18,16,83721.0,0
134,5298,19,17,88008.0,0
135,5298,20,18,91941.0,0
136,5298,21,19,95928.0,0
137,5298,22,20,100400.0,0
138,5298,23,20,103883.0,0
139,5298,24,21,108156.0,0
140,5298,25,22,111865.0,0
141,5298,26,23,115527.0,0
142,5298,27,24,120400.0,0
143,5298,28,24,122983.0,0
144,5298,29,25,126507.0,0
145,5298,30,26,130014.0,0
146,5298,31,26,134470.0,0
147,5298,32,27,138555.0,0
148,5298,33,28,142429.0,0
149,5298,34,29,145344.0,0
150,5298,35,29,148837.0,0
151,5298,36,30,152791.0,0
152,5298,37,31,156433.0,0
153,5298,38,32,160350.0,0
154,5298,39,32,163496.0,0
155,5298,40,33,167134.0,0
156,5298,41,34,170815.0,0
157,5298,42,34,174119.0,0
158,5298,43,35,177999.0,0
159,5298,44,36,180693.0,0
160,5298,45,36,182668.0,0
161,5298,46,36,184031.0,0
162,5298,47,37,185010.0,0
163,5298,48,37,185112.0,0
164,5298,49,37,186981.0,0
165,5298,50,37,188971.0,0
166,5298,51,38,191450.0,0
167,5298,52,38,194235.0,0
168,5298,53,39,197006.0,0
169,5298,54,40,201347.0,0
170,5298,55,40,203901.0,0
171,5298,56,41,205697.0,0
172,5298,57,41,205697.0,0
173,5298,58,41,207358.0,0
174,5298,59,41,208989.0,0
175,5298,60,42,210737.0,0
176,5298,61,42,212592.0,0
177,5298,62,42,214228.0,0
178,5298,63,43,216888.0,0
179,5298,64,43,219800.0,0
180,5298,65,44,222252.0,0
181,5298,66,44,224753.0,0
182,5298,67,45,227475.0,0
183,5298,68,46,230163.0,0
184,5298,69,46,231903.0,0
185,5298,70,46,234135.0,0
186,5298,71,47,236619.0,0
187,5298,72,47,238939.0,0
188,5298,73,48,241522.0,0
189,5298,74,48,243698.0,0
190,5298,75,49,246250.0,0
191,5298,76,49,248907.0,0
192,5298,77,50,251637.0,0
193,5298,78,50,252955.0,0
194,5298,79,51,255869.0,0
195,5298,80,51,258059.0,0
196,5298,81,52,260787.0,0
197,5298,82,52,262065.0,0
198,5298,83,52,263504.0,0
199,5298,84,53,265436.0,0
200,5298,85,53,267143.0,0
201,5298,86,53,268085.0,0
202,5298,87,54,270310.0,0
203,5298,88,54,271850.0,0
204,5298,89,54,273870.0,0
205,5298,90,55,275345.0,0
206,5298,91,55,277605.0,0
207,5298,92,56,280091.0,0
208,5298,93,56,281659.0,0
209,5298,94,56,284185.0,0
210,5298,95,57,286672.0,0
211,5298,96,57,288640.0,0
212,5298,97,58,290485.0,0
213,5298,98,58,292192.0,0
214,5298,99,58,293846.0,0
215,5298,100,59,296824.0,0
216,5298,101,59,297580.0,0
217,5298,102,59,298992.0,0
218,5298,103,60,300619.0,0
219,5298,104,60,302519.0,0
220,5298,105,60,304096.0,0
221,5298,106,61,306799.0,0
222,5298,107,61,308882.0,0
223,5298,108,62,310369.0,0
224,5298,109,62,312719.0,0
225,5298,110,63,315040.0,0
226,5298,111,63,316984.0,0
227,5298,112,63,319330.0,0
228,5298,113,64,320645.0,0
229,5298,114,64,322814.0,0
230,5298,115,64,324812.0,0
231,5298,116,65,326724.0,0
232,5299,1,1,8016.0,0
233,5299,2,2,12892.0,0
234,5299,3,3,18412.0,0
235,5299,4,4,23993.0,0
236,5299,5,5,29378.0,0
237,5299,6,6,33604.0,0
238,5299,7,7,39581.0,0
239,5299,8,8,44432.0,0
240,5299,9,9,49761.0,0
241,5299,10,10,54512.0,0
242,5299,11,12,60814.0,0
243,5299,12,13,67007.0,0
244,5299,13,14,71339.0,0
245,5299,14,15,76195.0,0
246,5299,15,15,79982.0,0
247,5299,16,16,84298.0,0
248,5299,17,17,89044.0,0
249,5299,18,18,92851.0,0
250,5299,19,19,96988.0,0
251,5299,20,20,100540.0,0
252,5299,21,20,104535.0,0
253,5299,22,21,108581.0,0
254,5299,23,22,112893.0,0
255,5299,24,23,116904.0,0
256,5299,25,24,121740.0,0
257,5299,26,25,125534.0,0
258,5299,27,26,130463.0,0
259,5299,28,27,136755.0,0
260,5299,29,28,142556.0,0
261,5299,30,29,147314.0,0
262,5299,31,30,153255.0,0
263,5299,32,31,158543.0,0
264,5299,33,32,164203.0,0
265,5299,34,33,168695.0,0
266,5299,35,34,173423.0,0
267,5299,36,35,178899.0,0
268,5299,37,36,181499.0,0
269,5299,38,36,184455.0,0
270,5299,39,37,188193.0,0
271,5299,40,38,191705.0,0
272,5299,41,39,195056.0,0
273,5299,42,39,197357.0,0
274,5299,43,40,200814.0,0
275,5299,44,40,203273.0,0
276,5299,45,41,206259.0,0
277,5299,46,41,208342.0,1
278,5299,47,0,100.0,0
279,5299,48,0,100.0,0
280,5299,49,0,1995.0,0
281,5299,50,0,4431.0,0
282,5299,51,1,7005.0,0
283,5299,52,2,10476.0,0
284,5299,53,2,13585.0,0
285,5299,54,3,16175.0,0
286,5299,55,3,19493.0,0
287,5299,56,4,21642.0,0
288,5299,57,4,23364.0,0
289,5299,58,4,24173.0,0
290,5299,59,5,26527.0,0
291,5299,60,5,29018.0,0
292,5299,61,6,31415.0,0
293,5299,62,6,33762.0,0
294,5299,63,7,36849.0,0
295,5299,64,7,39450.0,0
296,5299,65,8,41478.0,0
297,5299,66,8,43578.0,0
298,5299,67,9,46060.0,0
299,5299,68,9,46879.0,0
300,5299,69,9,46879.0,0
301,5299,70,9,46879.0,0
302,5299,71,9,47515.0,0
303,5299,72,9,49892.0,0
304,5299,73,10,51774.0,0
305,5299,74,10,53310.0,0
306,5299,75,11,55927.0,0
307,5299,76,11,58624.0,0
308,5299,77,12,61029.0,0
309,5299,78,12,62439.0,0
310,5299,79,12,64904.0,0
311,5299,80,13,67447.0,0
312,5299,81,13,69928.0,0
313,5299,82,14,71839.0,0
314,5299,83,14,74269.0,0
315,5299,84,15,76133.0,0
316,5299,85,15,78429.0,0
317,5299,86,16,80361.0,0
318,5299,87,16,82730.0,0
319,5299,88,16,84188.0,0
320,5299,89,17,86664.0,0
321,5299,90,17,88995.0,0
322,5299,91,18,91533.0,0
323,5299,92,18,94123.0,0
324,5299,93,19,95911.0,0
325,5299,94,19,98496.0,0
326,5299,95,20,100897.0,0
327,5299,96,20,102991.0,0
328,5299,97,21,105482.0,0
329,5299,98,21,107623.0,0
330,5299,99,21,109722.0,0
331,5299,100,22,111036.0,0
332,5299,101,22,111036.0,0
333,5299,102,22,111063.0,0
334,5299,103,22,111063.0,0
335,5299,104,22,112474.0,0
336,5299,105,22,114350.0,0
337,5299,106,23,117577.0,0
